id,platform,name,date,type,subject,questions,marks,time,syllabus,link,remarks,status,marks_obtained,potential_marks
ZE001,Gate At Zeal,DM Topic Test 1,,Topic,Discrete Mathematics,25,50,60,Discrete Mathematics topics,,,Not Started,,
ZE002,Gate At Zeal,DM Topic Test 2,,Topic,Discrete Mathematics,25,50,60,Discrete Mathematics topics,,,Not Started,,
ZE003,Gate At Zeal,DM Topic Test 3,,Topic,Discrete Mathematics,25,50,60,Discrete Mathematics topics,,,Not Started,,
ZE004,Gate At Zeal,DM Topic Test 4,,Topic,Discrete Mathematics,25,50,60,Discrete Mathematics topics,,,Not Started,,
ZE005,Gate At Zeal,DM Topic Test 5,,Topic,Discrete Mathematics,25,50,60,Discrete Mathematics topics,,,Not Started,,
ZE006,Gate At Zeal,DM Full Test,,Full,Discrete Mathematics,40,80,120,Complete Discrete Mathematics syllabus,,,Not Started,,
ZE007,Gate At Zeal,C-Prog Topic Test,,Topic,C Programming,25,50,60,C Programming topics,,,Not Started,,
ZE008,Gate At Zeal,C-Prog Full Test,,Full,C Programming,40,80,120,Complete C Programming syllabus,,,Not Started,,
ZE009,Gate At Zeal,DSA Topic Test 1,,Topic,Data Structures,25,50,60,Data Structures topics,,,Not Started,,
ZE010,Gate At Zeal,DSA Topic Test 2,,Topic,Data Structures,25,50,60,Data Structures topics,,,Not Started,,
ZE011,Gate At Zeal,DSA Topic Test 3,,Topic,Algorithms,25,50,60,Algorithms topics,,,Not Started,,
ZE012,Gate At Zeal,DSA Topic Test 4,,Topic,Algorithms,25,50,60,Algorithms topics,,,Not Started,,
ZE013,Gate At Zeal,DSA Full Test,,Full,Combined,40,80,120,Complete Data Structures and Algorithms syllabus,,,Not Started,,
ZE014,Gate At Zeal,CN Topic Test 1,,Topic,Computer Networks,25,50,60,Computer Networks topics,,,Not Started,,
ZE015,Gate At Zeal,CN Topic Test 2,,Topic,Computer Networks,25,50,60,Computer Networks topics,,,Not Started,,
ZE016,Gate At Zeal,CN Topic Test 3,,Topic,Computer Networks,25,50,60,Computer Networks topics,,,Not Started,,
ZE017,Gate At Zeal,CN Topic Test 4,,Topic,Computer Networks,25,50,60,Computer Networks topics,,,Not Started,,
ZE018,Gate At Zeal,CN Full Test,,Full,Computer Networks,40,80,120,Complete Computer Networks syllabus,,,Not Started,,
ZE019,Gate At Zeal,OS Topic Test 1,,Topic,Operating Systems,25,50,60,Operating Systems topics,,,Not Started,,
ZE020,Gate At Zeal,OS Topic Test 2,,Topic,Operating Systems,25,50,60,Operating Systems topics,,,Not Started,,
ZE021,Gate At Zeal,OS Topic Test 3,,Topic,Operating Systems,25,50,60,Operating Systems topics,,,Not Started,,
ZE022,Gate At Zeal,OS Full Test,,Full,Operating Systems,40,80,120,Complete Operating Systems syllabus,,,Not Started,,
ZE023,Gate At Zeal,DL Topic Test 1,,Topic,Digital Logic,25,50,60,Digital Logic topics,,,Not Started,,
ZE024,Gate At Zeal,DL Topic Test 2,,Topic,Digital Logic,25,50,60,Digital Logic topics,,,Not Started,,
ZE025,Gate At Zeal,DL Topic Test 3,,Topic,Digital Logic,25,50,60,Digital Logic topics,,,Not Started,,
ZE026,Gate At Zeal,DL Full Test,,Full,Digital Logic,40,80,120,Complete Digital Logic syllabus,,,Not Started,,
ZE027,Gate At Zeal,COA Topic Test 1,,Topic,COA,25,50,60,COA topics,,,Not Started,,
ZE028,Gate At Zeal,COA Topic Test 2,,Topic,COA,25,50,60,COA topics,,,Not Started,,
ZE029,Gate At Zeal,COA Topic Test 3,,Topic,COA,25,50,60,COA topics,,,Not Started,,
ZE030,Gate At Zeal,COA Full Test,,Full,COA,40,80,120,Complete COA syllabus,,,Not Started,,
ZE031,Gate At Zeal,DBMS Topic Test 1,,Topic,DBMS,25,50,60,DBMS topics,,,Not Started,,
ZE032,Gate At Zeal,DBMS Topic Test 2,,Topic,DBMS,25,50,60,DBMS topics,,,Not Started,,
ZE033,Gate At Zeal,DBMS Topic Test 3,,Topic,DBMS,25,50,60,DBMS topics,,,Not Started,,
